Sirpca,Turkce
Potvrdu uspeha,Başarının kanıtı
Potvrđeno,Doğrulandı (geçmiş)
Pouzdan,Güvenilir
Pouzdani,Güvenilir
Pouzdanih,Güvenilir (genitiv)
Pouzdanim,Güvenilir
Pouzdanog partnera,Güvenilir ortak
Pouzdanu,Güvenilir (kadın)
Povećan,Arttırıldı
Povećanje,Artış
Povećati,Arttırmak (fiil)
Povezana,Bağlantılı / İlişkili (kadın)
Povezati,Bağlamak / Birleştirmek / İlişkilendirmek (fiil)
Povezivanja,Bağlantılarının (genitiv)
Povezivati / Povežite,Bağlamak (fiil)
Povezujući,Bağlanıyor
Povežite,Bağlayın / Birleştirin / Eşleştirin (emir) (siz)
Povežite brojeve i riječi,Sayıları ve kelimeleri eşleştir
Povišen Pritisak,Yüksek Tansiyon
Povjerenje,Güven / İtimat / Sadakat  (nötr)
Povjerenju,Güvene (dativ)
Povodom,İlişkin / Sebebiyle / Nedeniyle
Povolnjnije,Daha elverişli
Povoljnim,Avantajlı / Elverişli / Uygun fiyatlı
Povoljnosti / Pogodnosti / Benefite,Faydalar
Povoljnji,Daha avantajlı / Daha uygun fiyatlı (erkek)
Povorka,Alay
Povratak,Dönüş / Geri dönüş (erkek) (bir yerden dönme)
Povratku,Dönüşe (dativ)
Povratna,Geri dönmek (Gidiş-Dönüş)
Povratna karta,Gidiş Dönüş bileti
Povratne,Depozitolu
Povratne karte,Biletin fiyatı
Povratni,Gidiş - Dönüşlü (sıfat)
Povratnih,Dönüşlü (çoğul)
Povratnih glagola,Dönüşlü fiiller
Povratnu,Gidiş-Dönüş
Povrća,Sebzeler / Sebzelerin (genitiv)
Povrće,Sebze (nötr)
Povrćem,Sebzelerle / Sebzeli
Povreda,Yaralanmaların (genitiv)
Povrijediti,İncitmek / Kırmak (fiil)
Povrijeđene,İncinmiş / Kırılmış (kadın) (çoğul)
Povrijeđenih,Yararlananlar / Zarar görenler (genitiv)
Povrijeđenim,Yaralanmış / Zarar görmüş
Povrijeđenima,Yaralılara
Povrsina,Yüzey alanı
Površina,Yüzey alanı
Površine,Büyüklüğünde (genitiv)
Povuče,Geri çekecek (gelecek)
Povući,Çekmek / Almak (fiil)
Povukla,Çekti (geçmiş)
Pozajmica,Ödünç / Borç (kadın)
Pozajmice,Ödünç / Borç (çoğul)
Pozajmici,Ödünce / Ödünçte / Borca / Borçta (lokativ)
Pozdrav,Selam (erkek)
Pozdrava,Selamların / Sevgilerin
Pozdrave,Selamları (akuzativ)
Pozdravi,Selamlar / Saygılar
Pozdravljam,Takdir eddiyorum / Destekliyorum (ben)
Pozdravljamo,Selamlıyoruz / Memnuniyetle Karşılıyoruz (biz)
Pozdravljanje,Selamlama
Pozdravljati,Desteklemek / Takdir etmek / Selamlamak / Karşılamak (fiil)
Pozicija,Görev / Pozisiyon
Pozicije,Pozisyonlar (genitiv)
Poziciju / Pozicija,Konum / Pozisyon
Pozicionira,Konumlandırır
Pozicionirati,Konumlandırmak (fiil)
Pozitivnom / Pozitivan,Pozitif
Poziv,Çağrı / Referans / Arama (telefon / resmi davet)
Poziv na broj odobrenja,Referans numarası
Poziva,Çağrılar / Aramalar
Pozivaju,Aradılar
Pozivam,Davet ediyorum
Pozivamo,Davet ediyoruz (biz)
Pozive / Poziva,Aramalar
Poznajete,Tanıyorsunuz / Biliyorsunuz (siz)
Poznaju,Bilirler / Tanırlar
Poznat,Tanınmış / Ünlü / Bilinen (erkek) (tekil) (nominativ)
Poznata,Ünlü / Tanımış / Bilinen (kadın)
Poznate,Ünlü / Tanımış (kadın) (çoğul)
Poznati,Ünlü / Tanınmış (erkek) (çoğul)
Poznatih,Ünlüler
Poznatim,Ünlü biriyle / Tanınmış kişilere (erkek) (kadın) (nötr) (dativ) (çoğul)
Poznato,Ünlü / Tanınmış / Bilinen (nötr)
Poznavanje,Bilgi / Yetkinlik / Hakimiyet (nötr)
Poznavati,Tanımak / Bilmek (fiil)
Pozorišta,Tiyatronun (genitiv)
Pozorište,Tiyatroya
Pozorištu,Tiyatroda
Pozovimo,Çağıralım (çoğul) (biz) (emir)
Pozvani,Davet edildi
Pozvao,Davet etti (o) (geçmiş) (erkek)
Pozvati,Çağırmak / Davet etmek (fiil)
Požar,Yangın
Požara,Yangınının (genitiv)
Poželjeli / Htjeo / Želio,Aranan
Poževite,Eşleştirin
Požuri,Acele et / Çabuk ol (sen) / Hadi acele et
Požurite,Acele edin (siz)
Požuriti,Acele etmek (fiil)
Prıjateljica / Drugarica,Arkadaş (kadın)
Praćenje,Takip / İzleme / Gözlem / Denetim
Praktičan,Pratik
Praktikovati,Pratik yapmak / Uygulamak (fiil)
Praktikujem,Pratik yapıyorum / Uyguluyorum (ben)
Pranje,Yıkama / Aklama (mecaz)
Pranje novca,Kara para aklama
Praseta,Domuz
Prasica,Kumbara
Prašuma,Yağmur ormanı / Eldeğmemiş orman
Prati,Takip et / İzle (sen)
Pratilac,Takipçi (sosyal medya)
Pratilaca,Takipçilerin
Pratim,Takip ediyorum (ben)
Pratimo,Takip ediyoruz
Pratioca,Takipçimizin (genitiv)
Pratioci,Sahabeler
Pratite,Takip edin (siz) 
Pratiti,Takip etmek / Eşlik etmek / Birini izlemek (fiil)
Pratnja,Çevre
Prav,Gerçek / Doğru (erkek)
Prava,Gerçek / Doğru / Tam (kadın) / Hakkın / Hukukun (genitiv)
Prava drugih,Başkalarının hakları
Prava riječ,Doğru söz
Pravac,Yön / Doğrultu
Pravac,Yön / Rota / İstikamet
Pravce,Yönleri / Doğrultuları
Pravcu,Yön
Pravde,Adaletin
Pravdu,Adaleti (akuzativ)
Prave riječi,Doğru kelimeler
Pravi,Gerçek / Hakiki / Doğru / Uygun (erkek)
Pravila,Düzenlemeler
Pravila konkursa,Rekabet kuralları
Pravilan,Doğru / Düzgün / Uygun / Kurallı
Pravilno,Doğru / Kurallara uygun
Pravilo,Kural
Pravim,Yaparım
Pravimo,Yaparız
Praviti,Yapmak / Hazırlamak (fiil) (fiziksel)
Pravne,Hukuki / Yasal (kadın) (genitiv)
Pravne države,Hukuk devletini
Pravnih,Yasal
Pravnik,Hukukçu / Avukat
Pravo,Hak / Hukuk / Gerçek / Doğru / Düz (yön) (nötr)
Pravo učešća,Katılım hakkı
Pravoslav,Ortodoks / Ortodoks Hıristiyan (erkek)
Pravoslavna,Ortodoks / Ortodoks Hıristiyan (kadın)
Pravoslavne,Ortodoks (kadın) (çoğul)
Pravoslavni,Ortodokslar / Ortodoks Hıristiyanlar
Pravoslavnim,Ortodoks (erkek) (nötr) (dativ) (instrumental)
Pravoslavno,Ortodoks / Ortodoks Hıristiyan (nötr)
Pravosudni organi ,Yargı organları
Pravu,Gerçek / Doğru / Tam (kadın) (akuzativ)
Prazan,Boş (erkek)
Praziluk,Pırasa
Prazna,Boş (kadın)
Praznici,Tatiller / Bayramlar
Praznicima,Tatillerde / Bayramlarda (instrumental)
Prazničan,Bayramla ilgili
Prazničan,Bayrama ait
Praznična,Bayramlık (kadın)
Praznična,Tatil / Bayram / Özel günlere ait (kadın)
Praznične,Tatil / Bayram ile ilgili / Bayram
Praznični,Bayramla ilgili / Tatille ilgili
Praznično,Bayramlık (nötr)
Prazničnu,Bayramlık / Tatille ilgili (kadın) (akuzativ)
Praznik,Tatil / Bayram
Praznik rada,Emek Bayramı (1 Mayıs)
Praznika,Bayramın / Bayramların / Tatilin / Tatillerin (genitiv)
Praznike,Bayramları / Tatilleri (akuzativ)
Prazniku,Bayrama / Tatile (dativ)
Prazniku,Bayram / Tatil
Prazno,Boş (nötr)
Pre,Önce / Evvel (Sırpça)
Prebrojavanje,Sayma
Prebrzo,Çok hızlı
Precizan,Kesin / Net
Precizni,Kesin  / Net (çoğul)
Precizno,Açık olarak
Preciznost,Kesinlik
Precnik,Çap
Prečisčivač / Čistač,Temizleyici
Prečišćivač,Temizleyici
Prečnik,Çap
Preći,Geçmek / Katetmek / Karşıya Geçmek (fiil)
Preći sa riječi na djela,Sözden eyleme geçmek
Pred,Önünde / Hemen öncesinde
Predah,Mola
Predaju,Teslim etsinler (onlar)
Predala,Teslim etti / Sundu (o) (geçmiş)
Predati,Teslim etmek / Sunmak (fiil)
Predavač,Öğretici / Anlatıcı
Predavače,Öğretim görevlileri
Predavanja,Dersler / Konferanslar
Predavanje,Ders / Konferans
Predavati,Öğretmek
Predivna poruka,Harika mesaj
Predivne,Mükemmel / Muhteşem (kadın) (çoğul)
Predivnoj,Mükemmel / Muhteşem (kadın) (tekil)
Predivnom,Mükemmel / Muhteşem (erkek) (nötr)
Predivnu,Harika / Çok güzel (akuzativ)
Predjelo,Meze / Aperatif / Başlangıç yemeği
Predlagač,Teklif sahibi
Predlagati,Tavsiye etmek / Önermek (fiil)
Predlaže,Öneriyor (o)
Predlažem,Öneriyorum (ben)
Predlažemo,Öneriyoruz (biz)
Predlažete,Önerirsiniz (siz)
Predlog,Öneri / Teklif / Taslak (Sırbistan) (erkek)
Predlog budžeta,Bütçe taslağı
Predlog zakona,Yasa tasarısı
Predloga,Önerinin (genitiv) (Sırbistan)
Predložila,Önerildi
Predložite,Önerin / teklif edin (siz)
Predložiti,Önermek / Teklif etmek (fiil) (seçenek sunmak) (genel kullanım)
Predmet,Nesne / Eşya / Konu / Ders
Predmet ,Eşya / Nesne / Konu
Predmete,Nesneler / Eşyalar / Konular / Dersler
Predmeti,Eşyalar / Nesneler
Prednost,Avantaj
Predočili,Sundu
Predomislim,Fikrimi / Kararımı değiştiririm
Predomisliti,Fikrini değiştirmek (fiil)
Predoviti,Çevirmek (dil çevirisi) (fiil)
Predsezona,Sezon öncesi
Predsjedavanje ,Başkanlık etme / Dönem başkanlığı
Predsjedavao,Başkanlık ettim (ben) (geçmiş)
Predsjedavati,Başkanlık etmek / Oturum yönetmek (fiil)
Predsjednice,Başkan (hitap hali)
Predsjednici,Başkanlar
Predsjednik,Başkan
Predsjednik Crne Gore,Karadağ Cumhurbaşkanı
Predsjednik Odbora,Komite başkanı /  Kurul başkanı
Predsjednik Skupštine,Meclis Başkanı
Predsjednik Upravnog odbora,Yönetim kurulu başkanı
Predsjednik Vlade,Başbakan
Predsjednika,Başkanın / Cumhurbaşkanının (genitiv)
Predsjednikom,Başkan ile (instrumental) / Başkan olarak
Predsjednikom Skupštine,Meclis başkanı ile
Predsjedniku,Cumhurbaşkanına (erkek) (dativ)
Predsjedništva,Başkanlık
Predstava,Verim
Predstavio,Sundu / Tanıttı (geçmiş)
Predstavite,Tanıtın / Sunun (siz)
Predstaviti,Tanıtmak / Takdim etmek / Sunmak (fiil)
Predstaviti se,Kendini tanıtmak (fiil)
Predstavlja,Temsil ediyor
Predstavljaju,Temsil ederler
Predstavljamo,Sunuyoruz / Sunmak
Predstavljanje,Tanıtım / Takdim / Sunum
Predstavljati,Temsil etmek / Göstermek (fiil)
Predstavnice,Temsilciler (kadın)
Predstavnici,Temsilciler (erkek)
Predstavnicima,Temsilcilere / temsilcilerle / temsilciler hakkında (dativ) (lokativ) (instrumental) (çoğul)
Predstavničkog,Temsilcilerle ilgili
Predstavničkog doma,Temsilciler meclisi 
Predstavnik,Temsilci
Predstavnike,Temsilcileri (erkek) (akuzativ)
Predstavništvo,Temsilcilik ofisi
Predstavu,Oyun (tiyatro) (akuzativ)
Predstojeća,Yaklaşan / Önde duran (kadın)
Predstojeće,Yaklaşan / Gelecek olan (çoğul)
Predstojećeg,Yaklaşan / Önümüzdeki
Predstojeći,Yaklaşan / Yaklaşmakta olan
Predstojećim / Predstojećem,Yaklaşan
Predstojećoj,Yaklaşan (dativ) (lokativ)
Preduzeča / Preduzeće / Kompanija,Şirket
Preduzeća,Şirketler / İşletmeler
Preduzeće,Şirket / İşletme
Preduzet,Önlem almak (fiil)
Preduzeti,Üstlenmek / İcra etmek / Almak / Yapmak (fiil)
Preduzimajući,Yürüyerek / Uygulayarak
Preduzmu,Üstlensinler / Alsınlar / Yapsınlar (onlar)
Predvidjeti,Öngörmek / Planlamak (fiil)
Predviđa,Öngörülüyor
Predvoditi,Önderlik etmek
Pređem,Geçerim / Kat ederim (ben)
Pređena,Geçilen / Kat edilen
Pređete,Geçersiniz (siz)
Pregled,kontrol / Muayene
Pregled zaduženja i pokrivanja,Borç ve teminata genel bakış
Pregleda,Muayeneden (genitiv) / Görüntüleme / muayenenin / incelemenin / kontrolün
Pregledate,Kontrol ediyorsunuz (siz)
Pregledati,Kontrol etmek / Muayene etmek (fiil)
Pregovarač,Arabulucu / Müzakereci
Pregovaračka,Müzakere ile ilgili
Pregovaračke,Müzakereci (kadın) (çoğul)
Pregovaračke vještine,Müzakere becerileri 
Pregovaračkih,Müzakereye ait
Pregovarati,Müzakere etmek (fiil)
Pregovora,Müzakereler
Pregovore,Müzakereleri (akuzativ)
Pregovori,Müzakereler / Görüşmeler
Pregovorima,Müzakerelerde /  Görüşmelerde (lokativ)
Pregrada,Bölme
Pregrejane,Aşırı ısınmış
Pregrevanja,Aşırı ısınma
Pregršt,Bir avuç dolusu / Bir sürü
Prehladila,Üşüttün (geçmiş) (kadın)
Prehladio,Üşüttün (erkek) (geçmiş)
Prehladiti se,Üşütmek / Soğuk almak (fiil)
Prehlađen,Soğuk algınlığı
Prehlađena,Soğuk algınlığı (kadın)
Prehlađene,Soğuk algınlığı (çoğul) (kadın)
Prehlađeni,Soğuk algınlığı (çoğul) (erkek)
Preispitaju,Yeniden incelesinler / Gözden geçirsinler
Preispitati,Yeniden gözden geçirmek / Sorgulamak (fiil)
Preklopni,Çevir
Preko,Üzerinden / Aracılığıyla / fazla / -den fazla / Boyunca / Sırasında
Preko puta,Karşısında
Preko računa,Banka havalesi / Hesaptan ödeme
Prekrasne,Harika / Çok güzel (kadın) (çoğul)
Prekretnica,Dönüm noktası / Kilometre taşı (kadın)
Prekrivač,Kapak / Yatak örtüsü
Prekrivač,Yatak örtüsü
Prekršila,İhlal etti (geçmiş)
Prekršio,İhlal etti / Çiğnedi (o)
Prekršiti,İhlal etmek / çiğnemek (fiil)
Prelaz,Geçit / Geçiş yeri
Prelazu,Geçitte (erkek) (lokativ)
Prelijep,Çok güzel (erkek) (tekil)
Prelijepim,Çok güzel (erkek) (nötr) (çoğul)
Prelijepom,Çok güzel (erkek) (nötr) (tekil)
Prelistaj,Gözden geçir (sen)
Prelistajte,Gözden geçirin / Karıştırın
Prelistati,Gözden geçirmek / Sayfalarını çevirmek (fiil)
Prema,Buna göre / -e doğru / -e yönünde / Uyarınca (edat)
Prema strogim pravilima,Katı kurallara göre
Premijer,Başbakan
Premijerom,Başbakan ile
Prenesem,Ileteyim
Prenijeti,İletmek (fiil)
Preostalo,Geriye kalan
Prepisaće,Reçete yazacak (o) (gelecek)
Prepisati,Reçete yazmak / Tavsiye etmek  / Kopya etmek (fiil)
Prepisivanje,Sınavda kopya çekme
Prepisivati,Reçete etmek / Yazmak (fiil)
Prepisivati,Kopya etmeye devam etmek (sürekli)
Prepiska,Yazışma / Mektuplaşma
Prepisuje,Reçete ediyor / Yazıyor (o)
Preporučili,Önerdiler / Tavsiye ettiler (geçmiş)
Preporučiti,Önermek / Tavsiye etmek (fiil) (daha vurgulu)
Preporučivati,Tavsiye etmek (fiil)
Preporučuje,Tavsiye edilen
Preporučujemo,Öneririz
Preporučujete,Tavsiye edersiniz (siz)
Prepozicija,Edat
Prepoznaj,Tanı / Fark et / Ayırt et (sen) (emir)
Prepoznaje,Fark ediyor / Tanıyor
Prepoznata,Tanınmış
Prepoznati,Tanımak / Fark etmek (fiil)
Prepreku,Engel
Prepunom,Kalabalık
Prepustite,Bırak
Prepustite se uživanju,Kendini şımart
Preseljenja,Taşınmanın / Taşınmaların
Preseljenje,Taşınma / Nakil
Preskoči,Bunu atlayın
Preskupo,Çok pahalı
Prestanak,Sonlanma / Sona erme
Prestižan,Prestijli
Prestižna,Prestijli / Saygın (kadın)
Prestižni,Prestijli
Prestižnim,Prestijli (lokativ) (çoğul)
Prestižnom,Prestijli
Preteći,Sollayıp geçmek (fiil) (tekrarsız)
Prethodna,Önceki (kadın)
Prethodne,Öncekinin (genitiv) (kadın)
Prethodne,Önceki (kadın) (genitiv)
Prethodno,Önceden / Evvelce
Preticao,sollamakta idi / Geçiyordu (geçmiş)
Preticati,Arcı veya kişiyi sollamak (sürekli) (fiil)
Pretraga,Arama / Araştırma / Sorgu (kadın)
Pretraži,Ara (emir)
Pretražiti,Aramak / Taramak (bitmiş) (fiil)
Pretraživati,Aramak / Taramak (sürekli) (fiil)
Pretvaraš,Numara yapıyorsun
Pretvorio / Obratili,Dönüştürülmüş
Pretvoriti,Dönüştürmek
Preuzeti,İndirmek / Devralmak / Üstlenmek / Teslim almak(fiil)
Preuzima,Devralıyor / Üstleniyor (o)
Preuzimaju,Devralmak
Preuzimanju / Preuzimanje,İndiriliyor
Preuzmi / Preuzmite / Preuzimaj,Indirmek
Preuzmite,İndirin (siz)
Prevare,Dolandırıcılıklar
Prevazići,Üstesinden gelmek (fiil)
Prevaziđe,Aşılması üstesinden gelinmesi
Prevaziđu,Aştılar / Üstesinden geldiler
Previdno / Pažljivo,Dikkatlice
Previsok,Çok yüksek / Aşırı yüksek
Prevod,Tercüme
Prevoz,Taşıma / Nakliye / Ulaşım (erkek)
Prevoziti,Taşımak (fiil)
Prevozno,Taşıma / Ulaşım
Prevozno sredstvo,Ulaşım aracı
Prevucite,Tokatlamak
Prezent,Şimdiki zaman
Prezent glagola,Fiilin şimdiki zamanı
Prezenta,Şimdiki zamanın (genitiv)
Prezentacija,Sunum
Prezentaciju fotografija,Fotoğraf Sunumu
Prezime,Soyadı
Prezimena,Soyadları
Prezivaju,Soyadı taşırlar (onlar)
Prezivam,Soyadım
Prezivate,Soyadın
Prezivati se,Soyadı olmak (fiil)
Preživi,Hayatta kalmak
Približim,Yaklaştırmak
Pribor,Alet / Takım / Set (erkek)
Pribor za jelo,Çatal bıçak takımı
Pribori,Aletler / Takımlar
Priča,Hikaye / Öykü / Anlatı (kadın)
Priča se,Hakkında konuşuluyor / Dedikodu yapılıyor
Pričaju,Konuşuyorlar / Anlatıyorlar (onlar)
Pričate,Anlatıyorsunuz (siz)
Pričati ,Konuşmak (birine bir şey anlatmak) (fiil)
Priče,Hikaye (kadın) (genitiv)
Pričini,Sebep olmak / Meydana getirmek / Hissetirmek (fiil)
Pričom,Hikayesi olan / Hikaye ile (kadın) (instrumental)
Priču,Hikayeyi (kadın) (akuzativ)
Pridjev,Sıfat
Pridjeva,Sıfatın / Sıfatların (genitiv)
Pridjevi,Sıfatlar
Pridruži,Katıl (sen) (emir)
Pridruži nam se,Bize katılın
Pridružile,Katıldılar (geçmiş)
Pridružite,Katılın (siz)
Pridružiti se,Ekibe (gruba) katılmak / Dahil olmak (fiil)
Prihoda,Gelirlerin (genitiv)
Prihvaćati,Kabul etmek
Prija,Iyi geliyor (o)
Prijatan,Iyi / Hoş (sıfat)
Prijatelj,Arkadaş / Dost (Erkek)
Prijateljem,Arkadaşıyla (instrumental)
Prijatelji,Arkadaşlar / Dostlar
Prijateljica,Arkadaş / Dost (kadın)
Prijateljicom,Arkadaşıyla (kadın)
Prijateljima,Arkadaşlar (nominativ) / Arkadaşlara (dativ) / Arkadaşlarla / Arkadaşlarıyla (instrumental)
Prijateljske,Dostane / Dostça (sıfat) (kadın)
Prijateljski,Arkadaşça
Prijateljstva,Arkadaşlık ilişkisi (çoğul)
Prijateljstvo,Arkadaşlık ilişkisi / Dostluk
Prijatelju,Arkadaşınıza (dativ)
Prijati,İyi gelmek (fiil)
Prijatno,Afiyet olsun / Kolay gelsin / İyi günler
Prijatnog,hoş / Nazik (erkek) (nötr)
Prijava,Başvuru / Oturum Açma (kadın)
Prijava za posao,İş başvurusu
Prijave,Bildirsinler (onlar) / Başvurular
Prijave / Aplikacije,Uygulamalar
Prijavi,Bildir / Başvur
Prijavi se,Üye olmak / Kaydolmak
Prijavio,Bildirmedi
Prijavite,Bildiriniz (siz)
Prijaviti,Bildirmek / İhbar etmek (fiil)
Prijaviti se,Kaydolmak / Başvurmak (fiil)
Prijavljenih,Kayıtlı
Prijavljivanja,Raporlama
Prijavu,Başvuru
Prijavu,Başvuru / Bildirim
Prije,Önce (zarf) / Öncesinde (edat) / Evvel
Prije podna,Öğleden önce (İng. a.m.)
Prije svega,Her şeyden önce
Prije svega,Her şeyden önce / En başta
Prijedlog,Ömeri / Teklif (Hırvatistan) (Bosna)
Prijedloga,Önerinin (Hırvatistan) (Bosna)
Prijedlogu,Öneriye / Teklife (dativ)
Prijedlozi,Edatlar / Öneriler
Prijem,Resepsiyon / Kabul / Karşılama (erkek)
Prijemu,Kabulde / Resepsiyond (dativ) (lokativ)
Prijepodne,Öğleden önce
Prijestonica,Başkent
Prijestonice,Başkent
Prikaz,Görüntülemek
Prikazana,Görüntülenen
Prikazao,Gösterdi / Sundu (geçmiş)
Prikazati,Göstermek / Sunmak / Sergilemek (fiil)
Prikazima,Görüntüler
Prikladni,Uygun / Münasip / Yerinde (erkek) (nominativ)
Prikladno,Uygun / Münasip / Yerinde (nötr)
Prilagoditi se,Uyum sağlamak / Ayak uydurmak (fiil)
Prilagodjen,Uyarlanmış
Prilagođavajući,Uyum sağlayarak
Prilagođavati,Uyum sağlamak (fiil)
Prilaka / Pristup,Yaklaşmak
Prilaz,Araba yolu
Prilazim,Yaklaşıyorum
Prilici,Fırsata / Duruma (dativ) (lokativ)
Prilično,Oldukça / Epeyce / Bir hayli (zarf)
Prilika,Fırsat / Vesile / Durum
Prilike,Koşullar / Fırsatlar / Olanaklar (akuzativ)
Prilikom,Vesilesiyle / Sırasında / Dolayısıyla / Anında (edat) (genitiv)
Priliku,Fırsatı (akuzativ)
Priliv,Giriş
Prilog,Ek / İlave / Ek dosya / Zarf / Destek
Prilogu,Ek te / Ek olarak (dativ) (lokativ)
Priložio,Sundu / İbraz etti
Priložiti,İbraz etmek / Teslim etmek (fiil)
Primalac,Alıcı
Primamljive / Primamljivim,Cazip
Primanja / Prihod,Gelir
Primaoca,Alıcının (genitiv)
Primarni,Birincil / Ana
Primarno,Öncelikle
Primate,Kabul ediyor (o)
Primati,Kabul etmek / Almak (fiil)
Primenjivati,Uygulamak (fiil)
Primetiti,Fark etmek (fiil)
Primijete,Fark ederler (o)
Primijetiti,Fark etmek / Görmek (fiil)
Primio,Aldım / Teslim aldım / Kabul etti (geçmiş)
Primiti,Kabul Etmek (fiil)
Primjeni,Uygula / Uygulayın
Primjenjivati,Uygulamak (fiil)
Primjer,Örnek (tekil)
Primjera,Örneklerin (erkek) (genitiv) 
Primjeri,Örnekler (çoğul)
Primjerima,Örneklerle / Örneklerdeki gibi (instrumental)
Primjeru,Örnekte
Primorje,Kıyı / Sahil / Sahil bölgesi (nötr)
Primorju / Primorje,Sahil
Priority Pass kartica,Priority Pass Kartı
Prioritet,Öncelik
Prioriteta,Öncelik
Prioritete,Öncelikleri
Pripada,Ait (o)
Pripadaju,Ait olmak
Pripadaš,Sen aitsin
Pripadati,Ait olmak (fiil)
Pripadnici,Üyeler
Pripadnicima,Mensuplara / Üyelere (erkek) (dativ) (locativ)
Pripadnik,Üye / Mensup
Pripejd,Ön ödemeli
Priprema,Hazırlık / Hazırlıyor (o)
Pripremaće,Hazırlayacak / Hazırlayacaklar
Pripremaćeš,Hazırlayacaksın
Pripremaćete,Hazırlayacaksınız
Pripremaću,Hazırlayacağım
Pripremam,Hazırlıyorum (ben)
Pripremamo,Hazırlıyoruz (biz)
Pripremati,Hazırlanmak (fiil)
Pripreme,Hazırlıklamaları (onlar)
Pripremi / Pripremite / Spremati / Spremite,Hazırlanmak
Pripremi se,Kendini hazırla
Pripremićemo,Hazırlayacağız
Pripremila,Hazırladı (geçmiş)
Pripremile,Tedarikli
Pripremile / Priredio / Spremili / Pripremljena,Tedarikli
Pripremili,Hazırladık (geçmiş)
Pripremite se,Hazırlanın (siz)
Pripremiti,Hazırlamak / Hazırlanmak (fiil)
Pripremiti se,Hazırlanmak (fiil)
Pripremu,Hazırlık / hazırlama
Priraštaj,Arttırmak
Prirediti,Düzenlemek / Organize etmek (fiil)
Priređen,Düzenlendi /  Organize edildi
Priroda,Doğa
Prirode,Doğanın / Doğadan (genitiv)
Prirodi,Doğada / Doğaya (dativ)
Prirodne,Doğal
Prirodni,Doğal
Prirodno,Doğal olarak
Prirodom,Doğayla
Pristigle,Ulaşmış
Pristup,Giriş / Erişim / Yaklaşım (erkek)
Pristupanja,Katılımın / Erişimin (genitiv)
Pristupanja,Katılımın / Erişimin (genitiv)
Pristupanje,Katılmak / Erişim süreci
Pristupanje,Katılma / Giriş / Dahil olma / Katılım
Pristupimo,Yaklaşmamız (biz)
Pristupio,Katıldı / Gitti (geçmiş)
Pristupiti,Katılmak / Erişmek / Dahil olmak / Gitmek / Yaklaşmak (fiil)
Prisustvova,Mevcudiyet
Prisustvovali,Katıldık (biz) (geçmiş)
Prisustvovalo,Katıldım
Prisustvovati,Bulunmak / Katılmak / Hazır bulunmak (fiil)
Prisustvu,Katılım / Hazır bulunma / Varlık
Prisustvuju / Učestvuj,Katılmak
Prisutni,Sunmak
Prisutnima,Mevcut olanlara
Prisvojne,Tescilli / İyelik
Prisvojne zamjenice,Iyelik zamirleri
Pritiska,Basınç / Tansiyon
Pritvor,Tutukevi / Gözaltı
Pritvora,Tutukevinden / Gözaltından (genitiv)
Privatan,Özel / Şahsi
Privatizacija,Özelleştirme
Privatizacije,Özelleştirmenin (genitiv)
Privatne,Özel
Privatne firme,Özel şirket
Privatnih,Özel / Şahsi (genitiv) (çoğul)
Privilegija / Privilegije,Ayrıcalık
Privlačan,Çekici / Cazip / İlgi çekici (erkek)
Privlačna,Çekici / Cazip / İlgi çekici (kadın)
Privlačne,Çekici / Cazip /  İlgi çekici (çoğul) (kadın)
Privlačni,Çekici / Cazip / İlgi çekici (çoğul)
Privlačno,Çekici / Cazip / İlgi çekici (nötr)
